split,document_id,entity_id,surface,old_type,new_type,confidence,reason,guideline_basis,decision_status,reviewer,review_comment,reviewed_at
train,20336011022200910379002_6_part_1,T1445,совершенствования,BIN,CMP,HIGH,Направленное изменение или сравнительная характеристика.,"Инструкция RuREBus, стр. 3: CMP — сравнительная характеристика; примеры повышение, увеличение, совершенствование, расширение.",ACCEPTED,codex_guideline_review,Тип подтвержден определением или прямым примером из инструкции RuREBus.,2026-08-23
train,20336011022200910379002_6_part_1,T1587,содействие,ACT,BIN,HIGH,"Одноразовое действие/факт, а не мероприятие или направленное сравнение.","Инструкция RuREBus, стр. 2–3: BIN — одноразовое действие/бинарная характеристика.",ACCEPTED,codex_guideline_review,Тип подтвержден определением или прямым примером из инструкции RuREBus.,2026-08-23
train,20336011022200910379002_6_part_1,T1609,содействие,ACT,BIN,HIGH,"Одноразовое действие/факт, а не мероприятие или направленное сравнение.","Инструкция RuREBus, стр. 2–3: BIN — одноразовое действие/бинарная характеристика.",ACCEPTED,codex_guideline_review,Тип подтвержден определением или прямым примером из инструкции RuREBus.,2026-08-23
train,20336011022200910379002_6_part_1,T1629,содействие,ACT,BIN,HIGH,"Одноразовое действие/факт, а не мероприятие или направленное сравнение.","Инструкция RuREBus, стр. 2–3: BIN — одноразовое действие/бинарная характеристика.",ACCEPTED,codex_guideline_review,Тип подтвержден определением или прямым примером из инструкции RuREBus.,2026-08-23
train,20336011022200910379002_6_part_3,T41,Выполнение,ACT,BIN,MEDIUM,"Одноразовое действие/факт, а не мероприятие или направленное сравнение.","Инструкция RuREBus, стр. 2–3: BIN — одноразовое действие/бинарная характеристика.",REVIEW_REQUIRED,,Требуется ручная проверка полного контекста и отношения: роль может зависеть от употребления.,
train,20336011022200910379002_6_part_3,T215,внедрения,ACT,BIN,MEDIUM,"Одноразовое действие/факт, а не мероприятие или направленное сравнение.","Инструкция RuREBus, стр. 2–3: BIN — одноразовое действие/бинарная характеристика.",REVIEW_REQUIRED,,Требуется ручная проверка полного контекста и отношения: роль может зависеть от употребления.,
train,20336011022200910379002_6_part_3,T221,внедрения,ACT,BIN,MEDIUM,"Одноразовое действие/факт, а не мероприятие или направленное сравнение.","Инструкция RuREBus, стр. 2–3: BIN — одноразовое действие/бинарная характеристика.",REVIEW_REQUIRED,,Требуется ручная проверка полного контекста и отношения: роль может зависеть от употребления.,
train,20336011022200910379002_6_part_3,T231,внедрения,ACT,BIN,MEDIUM,"Одноразовое действие/факт, а не мероприятие или направленное сравнение.","Инструкция RuREBus, стр. 2–3: BIN — одноразовое действие/бинарная характеристика.",REVIEW_REQUIRED,,Требуется ручная проверка полного контекста и отношения: роль может зависеть от употребления.,
train,20336011022200910379002_6_part_3,T261,внедрения,ACT,BIN,MEDIUM,"Одноразовое действие/факт, а не мероприятие или направленное сравнение.","Инструкция RuREBus, стр. 2–3: BIN — одноразовое действие/бинарная характеристика.",REVIEW_REQUIRED,,Требуется ручная проверка полного контекста и отношения: роль может зависеть от употребления.,
train,20336011022200910379002_6_part_3,T333,внедрения,ACT,BIN,MEDIUM,"Одноразовое действие/факт, а не мероприятие или направленное сравнение.","Инструкция RuREBus, стр. 2–3: BIN — одноразовое действие/бинарная характеристика.",REVIEW_REQUIRED,,Требуется ручная проверка полного контекста и отношения: роль может зависеть от употребления.,
train,20336011022200910379002_6_part_3,T398,содействие,ACT,BIN,HIGH,"Одноразовое действие/факт, а не мероприятие или направленное сравнение.","Инструкция RuREBus, стр. 2–3: BIN — одноразовое действие/бинарная характеристика.",ACCEPTED,codex_guideline_review,Тип подтвержден определением или прямым примером из инструкции RuREBus.,2026-08-23
train,20336011022200910379002_6_part_3,T401,укрепление,BIN,CMP,MEDIUM,Направленное изменение или сравнительная характеристика.,"Инструкция RuREBus, стр. 3: CMP — сравнительная характеристика; примеры повышение, увеличение, совершенствование, расширение.",REVIEW_REQUIRED,,Требуется ручная проверка полного контекста и отношения: роль может зависеть от употребления.,
train,20336011022200910379002_6_part_3,T408,внедрения,ACT,BIN,MEDIUM,"Одноразовое действие/факт, а не мероприятие или направленное сравнение.","Инструкция RuREBus, стр. 2–3: BIN — одноразовое действие/бинарная характеристика.",REVIEW_REQUIRED,,Требуется ручная проверка полного контекста и отношения: роль может зависеть от употребления.,
train,20336011022200910379002_6_part_3,T453,содействие,ACT,BIN,HIGH,"Одноразовое действие/факт, а не мероприятие или направленное сравнение.","Инструкция RuREBus, стр. 2–3: BIN — одноразовое действие/бинарная характеристика.",ACCEPTED,codex_guideline_review,Тип подтвержден определением или прямым примером из инструкции RuREBus.,2026-08-23
train,20336011022200910379002_6_part_3,T461,Выполнение,ACT,BIN,MEDIUM,"Одноразовое действие/факт, а не мероприятие или направленное сравнение.","Инструкция RuREBus, стр. 2–3: BIN — одноразовое действие/бинарная характеристика.",REVIEW_REQUIRED,,Требуется ручная проверка полного контекста и отношения: роль может зависеть от употребления.,
train,20336011022200910379002_6_part_3,T563,внедрение,ACT,BIN,MEDIUM,"Одноразовое действие/факт, а не мероприятие или направленное сравнение.","Инструкция RuREBus, стр. 2–3: BIN — одноразовое действие/бинарная характеристика.",REVIEW_REQUIRED,,Требуется ручная проверка полного контекста и отношения: роль может зависеть от употребления.,
train,20336011022200910379002_6_part_3,T568,Содействие,ACT,BIN,HIGH,"Одноразовое действие/факт, а не мероприятие или направленное сравнение.","Инструкция RuREBus, стр. 2–3: BIN — одноразовое действие/бинарная характеристика.",ACCEPTED,codex_guideline_review,Тип подтвержден определением или прямым примером из инструкции RuREBus.,2026-08-23
train,20336011022200910379002_6_part_3,T578,Содействие,ACT,BIN,HIGH,"Одноразовое действие/факт, а не мероприятие или направленное сравнение.","Инструкция RuREBus, стр. 2–3: BIN — одноразовое действие/бинарная характеристика.",ACCEPTED,codex_guideline_review,Тип подтвержден определением или прямым примером из инструкции RuREBus.,2026-08-23
train,20336011022200910379002_6_part_3,T588,Содействие,ACT,BIN,HIGH,"Одноразовое действие/факт, а не мероприятие или направленное сравнение.","Инструкция RuREBus, стр. 2–3: BIN — одноразовое действие/бинарная характеристика.",ACCEPTED,codex_guideline_review,Тип подтвержден определением или прямым примером из инструкции RuREBus.,2026-08-23
train,20336011022200910379002_6_part_3,T594,Содействие,ACT,BIN,HIGH,"Одноразовое действие/факт, а не мероприятие или направленное сравнение.","Инструкция RuREBus, стр. 2–3: BIN — одноразовое действие/бинарная характеристика.",ACCEPTED,codex_guideline_review,Тип подтвержден определением или прямым примером из инструкции RuREBus.,2026-08-23
train,20336011022200910379005_7_part_0,T134,расширения,BIN,CMP,HIGH,Направленное изменение или сравнительная характеристика.,"Инструкция RuREBus, стр. 3: CMP — сравнительная характеристика; примеры повышение, увеличение, совершенствование, расширение.",ACCEPTED,codex_guideline_review,Тип подтвержден определением или прямым примером из инструкции RuREBus.,2026-08-23
train,20336011022200910379005_7_part_0,T383,укрепление,BIN,CMP,MEDIUM,Направленное изменение или сравнительная характеристика.,"Инструкция RuREBus, стр. 3: CMP — сравнительная характеристика; примеры повышение, увеличение, совершенствование, расширение.",REVIEW_REQUIRED,,Требуется ручная проверка полного контекста и отношения: роль может зависеть от употребления.,
train,20336011022200910379005_7_part_0,T462,расширения,BIN,CMP,HIGH,Направленное изменение или сравнительная характеристика.,"Инструкция RuREBus, стр. 3: CMP — сравнительная характеристика; примеры повышение, увеличение, совершенствование, расширение.",ACCEPTED,codex_guideline_review,Тип подтвержден определением или прямым примером из инструкции RuREBus.,2026-08-23
train,20336011022200910379005_7_part_0,T530,расширения,BIN,CMP,HIGH,Направленное изменение или сравнительная характеристика.,"Инструкция RuREBus, стр. 3: CMP — сравнительная характеристика; примеры повышение, увеличение, совершенствование, расширение.",ACCEPTED,codex_guideline_review,Тип подтвержден определением или прямым примером из инструкции RuREBus.,2026-08-23
train,20336011022200910379005_7_part_0,T639,расширение,BIN,CMP,HIGH,Направленное изменение или сравнительная характеристика.,"Инструкция RuREBus, стр. 3: CMP — сравнительная характеристика; примеры повышение, увеличение, совершенствование, расширение.",ACCEPTED,codex_guideline_review,Тип подтвержден определением или прямым примером из инструкции RuREBus.,2026-08-23
train,31228011021100875575102_2_part_1,T57,деятельности,BIN,ACT,MEDIUM,"Мера, мероприятие или продолжаемая деятельность.","Инструкция RuREBus, стр. 4: ACT — меры и мероприятия; ремонт приведен как пример ACT.",REVIEW_REQUIRED,,Требуется ручная проверка полного контекста и отношения: роль может зависеть от употребления.,
train,31228011021100998093018_1_part_1,T20,модернизация,CMP,BIN,HIGH,"Одноразовое действие/факт, а не мероприятие или направленное сравнение.","Инструкция RuREBus, стр. 2–3: BIN — одноразовое действие/бинарная характеристика.",ACCEPTED,codex_guideline_review,Тип подтвержден определением или прямым примером из инструкции RuREBus.,2026-08-23
train,31228011022200507823012_5,T43,оборот розничной торговли,ECO,MET,HIGH,"Показатель или объект, над которым задано сравнение.","Инструкция RuREBus, стр. 1: MET — численный показатель/объект сравнения.",ACCEPTED,codex_guideline_review,Тип подтвержден определением или прямым примером из инструкции RuREBus.,2026-08-23
train,31228011026200599666019_1_part_0,T1,Укрепление,BIN,CMP,MEDIUM,Направленное изменение или сравнительная характеристика.,"Инструкция RuREBus, стр. 3: CMP — сравнительная характеристика; примеры повышение, увеличение, совершенствование, расширение.",REVIEW_REQUIRED,,Требуется ручная проверка полного контекста и отношения: роль может зависеть от употребления.,
train,31228011026200599666019_1_part_0,T178,повышения,BIN,CMP,HIGH,Направленное изменение или сравнительная характеристика.,"Инструкция RuREBus, стр. 3: CMP — сравнительная характеристика; примеры повышение, увеличение, совершенствование, расширение.",ACCEPTED,codex_guideline_review,Тип подтвержден определением или прямым примером из инструкции RuREBus.,2026-08-23
train,31228011026200599666019_1_part_0,T282,расширение,BIN,CMP,HIGH,Направленное изменение или сравнительная характеристика.,"Инструкция RuREBus, стр. 3: CMP — сравнительная характеристика; примеры повышение, увеличение, совершенствование, расширение.",ACCEPTED,codex_guideline_review,Тип подтвержден определением или прямым примером из инструкции RuREBus.,2026-08-23
train,31339011021100971352016_7_part_0,T74,укрепление,BIN,CMP,MEDIUM,Направленное изменение или сравнительная характеристика.,"Инструкция RuREBus, стр. 3: CMP — сравнительная характеристика; примеры повышение, увеличение, совершенствование, расширение.",REVIEW_REQUIRED,,Требуется ручная проверка полного контекста и отношения: роль может зависеть от употребления.,
train,31339011021100971352016_7_part_0,T76,укрепление,BIN,CMP,MEDIUM,Направленное изменение или сравнительная характеристика.,"Инструкция RuREBus, стр. 3: CMP — сравнительная характеристика; примеры повышение, увеличение, совершенствование, расширение.",REVIEW_REQUIRED,,Требуется ручная проверка полного контекста и отношения: роль может зависеть от употребления.,
train,31339011021100971352016_7_part_0,T90,муниципальной программы,ECO,ACT,MEDIUM,"Мера, мероприятие или продолжаемая деятельность.","Инструкция RuREBus, стр. 4: ACT — меры и мероприятия; ремонт приведен как пример ACT.",REVIEW_REQUIRED,,Требуется ручная проверка полного контекста и отношения: роль может зависеть от употребления.,
train,31339011022200507823001_8,T2,муниципальной программы,SOC,ACT,MEDIUM,"Мера, мероприятие или продолжаемая деятельность.","Инструкция RuREBus, стр. 4: ACT — меры и мероприятия; ремонт приведен как пример ACT.",REVIEW_REQUIRED,,Требуется ручная проверка полного контекста и отношения: роль может зависеть от употребления.,
train,31339011022200507823001_8,T80,муниципальной программы,SOC,ACT,MEDIUM,"Мера, мероприятие или продолжаемая деятельность.","Инструкция RuREBus, стр. 4: ACT — меры и мероприятия; ремонт приведен как пример ACT.",REVIEW_REQUIRED,,Требуется ручная проверка полного контекста и отношения: роль может зависеть от употребления.,
train,31339011022200507823001_8,T126,муниципальной программы,SOC,ACT,MEDIUM,"Мера, мероприятие или продолжаемая деятельность.","Инструкция RuREBus, стр. 4: ACT — меры и мероприятия; ремонт приведен как пример ACT.",REVIEW_REQUIRED,,Требуется ручная проверка полного контекста и отношения: роль может зависеть от употребления.,
train,31339011022200507823007_12,T185,Показатель,CMP,MET,HIGH,"Показатель или объект, над которым задано сравнение.","Инструкция RuREBus, стр. 1: MET — численный показатель/объект сравнения.",ACCEPTED,codex_guideline_review,Тип подтвержден определением или прямым примером из инструкции RuREBus.,2026-08-23
train,31339011023301254426027_6_part_0,T47,укрепление,BIN,CMP,MEDIUM,Направленное изменение или сравнительная характеристика.,"Инструкция RuREBus, стр. 3: CMP — сравнительная характеристика; примеры повышение, увеличение, совершенствование, расширение.",REVIEW_REQUIRED,,Требуется ручная проверка полного контекста и отношения: роль может зависеть от употребления.,
train,31339011024401236034002_4_part_1,T245,показатели,ECO,MET,HIGH,"Показатель или объект, над которым задано сравнение.","Инструкция RuREBus, стр. 1: MET — численный показатель/объект сравнения.",ACCEPTED,codex_guideline_review,Тип подтвержден определением или прямым примером из инструкции RuREBus.,2026-08-23
train,31339011024401437224004_0,T213,деятельности,BIN,ACT,MEDIUM,"Мера, мероприятие или продолжаемая деятельность.","Инструкция RuREBus, стр. 4: ACT — меры и мероприятия; ремонт приведен как пример ACT.",REVIEW_REQUIRED,,Требуется ручная проверка полного контекста и отношения: роль может зависеть от употребления.,
train,31339011024401835996041_11_part_0,T157,обеспечение,ECO,BIN,HIGH,"Одноразовое действие/факт, а не мероприятие или направленное сравнение.","Инструкция RuREBus, стр. 2–3: BIN — одноразовое действие/бинарная характеристика.",ACCEPTED,codex_guideline_review,Тип подтвержден определением или прямым примером из инструкции RuREBus.,2026-08-23
train,31339011024401835996041_11_part_2,T131,обеспечение,ECO,BIN,HIGH,"Одноразовое действие/факт, а не мероприятие или направленное сравнение.","Инструкция RuREBus, стр. 2–3: BIN — одноразовое действие/бинарная характеристика.",ACCEPTED,codex_guideline_review,Тип подтвержден определением или прямым примером из инструкции RuREBus.,2026-08-23
train,31339011024402435090006_3_part_0,T256,модернизации,CMP,BIN,HIGH,"Одноразовое действие/факт, а не мероприятие или направленное сравнение.","Инструкция RuREBus, стр. 2–3: BIN — одноразовое действие/бинарная характеристика.",ACCEPTED,codex_guideline_review,Тип подтвержден определением или прямым примером из инструкции RuREBus.,2026-08-23
train,31339011024402635718027_4_part_0,T178,укрепление,BIN,CMP,MEDIUM,Направленное изменение или сравнительная характеристика.,"Инструкция RuREBus, стр. 3: CMP — сравнительная характеристика; примеры повышение, увеличение, совершенствование, расширение.",REVIEW_REQUIRED,,Требуется ручная проверка полного контекста и отношения: роль может зависеть от употребления.,
train,31339011024402635718027_4_part_0,T193,укрепление,BIN,CMP,MEDIUM,Направленное изменение или сравнительная характеристика.,"Инструкция RuREBus, стр. 3: CMP — сравнительная характеристика; примеры повышение, увеличение, совершенствование, расширение.",REVIEW_REQUIRED,,Требуется ручная проверка полного контекста и отношения: роль может зависеть от употребления.,
